,Txhash,Type
42,0xedff4992f6b9568de5d49169fe7d8f26a73fbbcf47308a9f2ffcdc708c5cb8d2,Arbitrage
43,0xf79d1288d712d34831a16d77450a414f46fbe79947021bf2f68b639b7077b971,Arbitrage
44,0x5c7d5455165e1aafd3afa12169b34a3805d53b8da3f64c5bdb9c7a4c3dfe272a,Arbitrage
45,0x514a9b6e1a6d02100e16649b2d8b44974d4c52953436b22ae2f2026b5917feae,Arbitrage
46,0x3b208a2d1ea8e2c871bffea57d7ffb35d41fe85ff02746504d9f7c560a3fc821,undefined
47,0x2877b6069149ea83033202d874beed29dfa58d23dd39e4ab2999320b447ff590,
48,0x8e4b9dc2b1926eefe93d90d344b63b3959f4e49cb490d6dbb8a4affc906818d8,Arbitrage
49,0xd8e27dd1fe5b8c92639292f512ab82969f5f3b65a06085cf7c1c06823c1c7307,Arbitrage
50,0x9d5032712234617e291fab67e4557dd027f6df977ec448fe97ce811bf74d592c,Arbitrage
51,0x8256a9fd73d76f42d1c1c07acf2f720e90f573d07c20baf12264a2ba4523b945,Arbitrage
52,0x74216f59a007de822452693c7ba6c6c694a3c23a770b8e43a3fe2913ef63298a,
53,0xa98a3f539b147e0f1dd94ac1e1381bb9c3fb8a06737f0af7bdeeb1b018a8b736,Arbitrage
54,0x1b529f8c659bb91b834c1204196fd9a6ea03ea3d4fb5f3095c4eb6e7b09a2580,Arbitrage
55,0x001fb7ef53ee076f6d8f96e05ab2f2074e305c4591bcdcf10596b26a8e64803c,
56,0x9d06ab2a09b70c82790f357bc84a68309cc9c92459f2e8dc74530364bd5ac926,undefined
57,0x434e070e573240297cb8402966b728573aca4e7b747f161a25c731a0e1caf940,Arbitrage
58,0xc552b77eabfd9098d7508a7a4a3cdb6ae8d7546da51d5b199e831f8e3af47b5e,
59,0xeb3fed8e417c1aa831589d757c7106b3ee71f8d107ff53bac2edaab00b4a52df,
60,0xa0a04c5ee386f65f42914dd4c76190ba07e814149128f05f87945ecb217a1cdd,Arbitrage
61,0xe86de51392d3ad57e2e3cf428af1b95556f38720f9f40b7c8cbcae18b812d130,
62,0x16ed7d315884efa71db4d4f23c725b1ef301a4b52a4a37b8fe45e73a12582de7,Arbitrage
63,0xf3f7236d7d8e5ee0f4c39224f52790225f1e35eccff94f922971bc59ce7f4215,
64,0x313b0afe7d937323b99382e3e442cad2fba7ed3fd12ab09ce311bf6aba678523,
65,0x030836b0d8d02e18896c9628fe69eed86f437457b877679bb42535de005e779a,
66,0x1b536f134782ec78e69f52f1ffb171ac4ff1cc1606aac860932a2abdcb097cb1,
67,0xad8cfa69c998db2f938bd4a267ac29822a6a90744c700f05797d7a43d40a9d19,
68,0x066953e7d034059c34fb48a6beb9edcaf49d22a1d6fc8adeb3b04b42b5564896,undefined
69,0x421830cbe3e39100fe5383dbc11bd73e7a2bd2daa65b1b62c1fc79c4c5aaa502,undefined
70,0x214d25f4225dc4f5c1b5d9c33a95e4cc2087fac75de67aef55416ebd2130cd54,Arbitrage
71,0xd7e66e7808bf81c591d42bab7e0e91483eccf222cba6b0fcb13379c7c1d8f67f,
72,0xfd882ef515525495d7731fc53e43f7940a7bcb8ff9a393f7c434e131879baaae,Arbitrage
73,0xdf641884edb21904bb531fc08b4e4398ead6a3881e1073781ad694f08a3f35c4,
74,0xa59c5dff89c65ffad42d7f173bb494e2453bb1ae564137610a2f41b07320c5c9,Arbitrage
75,0x33f905d109fd370c353cd4d6477d34e5bb68a35be6dbf7a0fe111326c656ff80,Arbitrage
76,0x2039520de3f18b925b4eeca89b59e39d00156805ffc012c40d47eb8ffd9e6a25,Arbitrage
77,0x24d4d8d4e3f2d830030050a2448a240bd634c543adff16268201f89e56f00b25,Arbitrage
78,0x63973d57673ebc2023ecf0da2bcc8a53fd4897878705a621c70c763b38613ddf,Arbitrage
79,0x920aa75be212218a9a54dd0e1573c28deb5eba2e9ebdcc8c30cc2990e95dc763,Arbitrage
80,0xff38b300d77ef568fbe9b4364f0696474add692cc8361fbb9c919194b447a61a,
81,0x74aae200bcc9cc07fe6c1276f4d6ea7075ff84d607d5e377d7f46b0f22729938,Arbitrage
82,0xf12e63ac823866cae702d58e21ee8553db75966cd3995e4c75214fc201d3f4c3,
83,0x3a72be8a9278dad475a585634bd661fda484f5d8b9a7b4e310dbf6d3f72bb809,Arbitrage
84,0x256520b939974b8196004d025c9333f946461b9a142aa0236917429a9ccbe5bf,undefined
85,0x510b1ff25c0b3a1c69aa31e0bf70ec3d1800d31b6dca5bd9df9278a1d674befe,
86,0xf01e7a6e5f104a26574adfb5285fdade806b3c606e402d4be7e9df3389c8ffe4,Arbitrage
87,0x71fa65c6e8556337789296fae281b58b50c3efedba0ba8a1eaa4e640449f140b,
88,0xa8a571562ba952a4e82036a74509c057dd5877efc71fef2b8b9d72b75a9a9ff2,
89,0xb82106a5db89c0ab312d01fb50827fe900009f5f6d6a3e3e7196d712c892abfa,
90,0xf2bdada685913629c1a56e1d20ecb7b13afb49f93d67b4ef5f6246aca65d25b4,
91,0x47e7beadfbb738b600d845f27939e578a079c63a13fe55c0fa51f24b74c04df5,
92,0xa112fb090c15e780acbba2cfef909008cf7960cb9170dc6d1c79f61fa8ab85c4,Arbitrage
93,0x090a6a5c271e0004a101a21aafddbcabfa1bc795c99468795ffd3ce411c37e14,
94,0x7c32c4576ee75f8d36e23ed8c9ff3b1a5d6132fd46abfb8981c127dc1330d0fb,Arbitrage
95,0x5da3b40eee06c7855fd5ae304ee113389e810d65d66f07bb5e73e15ef668b17b,
96,0x8aeb7ae9c911a565247957e000a4c8dde46bc7a391c32319ac21852208c3f23e,
