,incident_id,incident_date,incident_description,source_link,victim_name,contract_address,contract_name,category,subcategory,cause_title
10,4,2021-6-29,"Via the smart contract, a hacker deposited 0.1WBNB into the vault and then manually transferred 1000BNB into the contract to trick the contract into thinking it has received 1000BNB in rewards, which resulted in the minter producing MERL rewards. (@Rekt)Merlin was hacked due to a logic flaw in MerlinStrategyalPacabnb. Merlin's smart contract is responsible for transferring the attacker's assets into Pancakeswap to get the CAKE reward. Cake rewards are directly transferred to the Cake pool for the next round of compound interest; The attacker calls getReward() function, which is the same as Bunny's vulnerability. Cack is injected in large quantities, so that the attacker can get a large number of Merlin rewards. ",https://docs.google.com/spreadsheets/d/19EQyMRdNktDOR4DbmSbLXeSGHmemnKqKVvgYvGS_1Wc/edit#gid=0,MerlinLab,0x9059f2f644402db18155b7917762823a58962397,MerlinStrategyAlpacaBNB,Smart Contract Layer,Coding mistake,Absence of code logic or sanity check
11,4,2021-6-29,"Via the smart contract, a hacker deposited 0.1WBNB into the vault and then manually transferred 1000BNB into the contract to trick the contract into thinking it has received 1000BNB in rewards, which resulted in the minter producing MERL rewards. (@Rekt)Merlin was hacked due to a logic flaw in MerlinStrategyalPacabnb. Merlin's smart contract is responsible for transferring the attacker's assets into Pancakeswap to get the CAKE reward. Cake rewards are directly transferred to the Cake pool for the next round of compound interest; The attacker calls getReward() function, which is the same as Bunny's vulnerability. Cack is injected in large quantities, so that the attacker can get a large number of Merlin rewards. ",https://inspexco.medium.com/merlin-labs-incident-analysis-improper-mint-amount-calculation-on-mintfor-function-6a84c4fb0ec3,MerlinLab,0x9059f2f644402db18155b7917762823a58962397,MerlinStrategyAlpacaBNB,Third Party Layer,Faulty operation,Deployment mistake
12,4,2021-6-29,"Via the smart contract, a hacker deposited 0.1WBNB into the vault and then manually transferred 1000BNB into the contract to trick the contract into thinking it has received 1000BNB in rewards, which resulted in the minter producing MERL rewards. (@Rekt)Merlin was hacked due to a logic flaw in MerlinStrategyalPacabnb. Merlin's smart contract is responsible for transferring the attacker's assets into Pancakeswap to get the CAKE reward. Cake rewards are directly transferred to the Cake pool for the next round of compound interest; The attacker calls getReward() function, which is the same as Bunny's vulnerability. Cack is injected in large quantities, so that the attacker can get a large number of Merlin rewards. ",https://inspexco.medium.com/merlin-labs-incident-analysis-improper-mint-amount-calculation-on-mintfor-function-6a84c4fb0ec3,MerlinLab,0x9059f2f644402db18155b7917762823a58962397,MerlinStrategyAlpacaBNB,Smart Contract Layer,Coding mistake,Absence of code logic or sanity check
13,4,2021-6-29,"Via the smart contract, a hacker deposited 0.1WBNB into the vault and then manually transferred 1000BNB into the contract to trick the contract into thinking it has received 1000BNB in rewards, which resulted in the minter producing MERL rewards. (@Rekt)Merlin was hacked due to a logic flaw in MerlinStrategyalPacabnb. Merlin's smart contract is responsible for transferring the attacker's assets into Pancakeswap to get the CAKE reward. Cake rewards are directly transferred to the Cake pool for the next round of compound interest; The attacker calls getReward() function, which is the same as Bunny's vulnerability. Cack is injected in large quantities, so that the attacker can get a large number of Merlin rewards. ",https://twitter.com/RugDocIO/status/1409821481941540866?s=19,MerlinLab,0x9059f2f644402db18155b7917762823a58962397,MerlinStrategyAlpacaBNB,Third Party Layer,Faulty operation,Deployment mistake
14,4,2021-6-29,"Via the smart contract, a hacker deposited 0.1WBNB into the vault and then manually transferred 1000BNB into the contract to trick the contract into thinking it has received 1000BNB in rewards, which resulted in the minter producing MERL rewards. (@Rekt)Merlin was hacked due to a logic flaw in MerlinStrategyalPacabnb. Merlin's smart contract is responsible for transferring the attacker's assets into Pancakeswap to get the CAKE reward. Cake rewards are directly transferred to the Cake pool for the next round of compound interest; The attacker calls getReward() function, which is the same as Bunny's vulnerability. Cack is injected in large quantities, so that the attacker can get a large number of Merlin rewards. ",https://twitter.com/RugDocIO/status/1409821481941540866?s=19,MerlinLab,0x9059f2f644402db18155b7917762823a58962397,MerlinStrategyAlpacaBNB,Smart Contract Layer,Coding mistake,Absence of code logic or sanity check
15,4,2021-6-29,"Via the smart contract, a hacker deposited 0.1WBNB into the vault and then manually transferred 1000BNB into the contract to trick the contract into thinking it has received 1000BNB in rewards, which resulted in the minter producing MERL rewards. (@Rekt)Merlin was hacked due to a logic flaw in MerlinStrategyalPacabnb. Merlin's smart contract is responsible for transferring the attacker's assets into Pancakeswap to get the CAKE reward. Cake rewards are directly transferred to the Cake pool for the next round of compound interest; The attacker calls getReward() function, which is the same as Bunny's vulnerability. Cack is injected in large quantities, so that the attacker can get a large number of Merlin rewards. ",https://www.rekt.news/merlin3-rekt/,MerlinLab,0x9059f2f644402db18155b7917762823a58962397,MerlinStrategyAlpacaBNB,Third Party Layer,Faulty operation,Deployment mistake
16,4,2021-6-29,"Via the smart contract, a hacker deposited 0.1WBNB into the vault and then manually transferred 1000BNB into the contract to trick the contract into thinking it has received 1000BNB in rewards, which resulted in the minter producing MERL rewards. (@Rekt)Merlin was hacked due to a logic flaw in MerlinStrategyalPacabnb. Merlin's smart contract is responsible for transferring the attacker's assets into Pancakeswap to get the CAKE reward. Cake rewards are directly transferred to the Cake pool for the next round of compound interest; The attacker calls getReward() function, which is the same as Bunny's vulnerability. Cack is injected in large quantities, so that the attacker can get a large number of Merlin rewards. ",https://www.rekt.news/merlin3-rekt/,MerlinLab,0x9059f2f644402db18155b7917762823a58962397,MerlinStrategyAlpacaBNB,Smart Contract Layer,Coding mistake,Absence of code logic or sanity check
17,5,2020-4-19,The main logic behind these two incidents is the incompatibility between ERC777 and those DeFi smart contracts (Reentrancy with imBTC),https://peckshield.medium.com/uniswap-lendf-me-hacks-root-cause-and-loss-analysis-50f3263dcc09,LendfMe,0x0eee3e3828a45f7601d5f54bf49bb01d1a9df5ea,MoneyMarket,DeFi Protocol Layer/Design Flaw,Unsafe DeFi protocol dependency,Token standard incompatibility
18,5,2020-4-19,The main logic behind these two incidents is the incompatibility between ERC777 and those DeFi smart contracts (Reentrancy with imBTC),https://peckshield.medium.com/uniswap-lendf-me-hacks-root-cause-and-loss-analysis-50f3263dcc09,LendfMe,0x0eee3e3828a45f7601d5f54bf49bb01d1a9df5ea,MoneyMarket,Smart Contract Layer,Untrusted callee / Race conditions,Reentrancy
19,6,2021-10-3,"Now another ~$68.8M has been sent to the vulnerable vault, and even more COMP is being given away. Any user could call drip() on Compound’s Reservoir vault, which would refill the Comptroller and allow for even more incorrect COMP distribution. ",https://rekt.news/compound-rekt/,Compound,0x2775b1c75658be0f640272ccb8c72ac986009e38,Reservoir,Smart Contract Layer,Coding mistake,Absence of code logic or sanity check
20,6,2021-10-3,"Now another ~$68.8M has been sent to the vulnerable vault, and even more COMP is being given away. Any user could call drip() on Compound’s Reservoir vault, which would refill the Comptroller and allow for even more incorrect COMP distribution. ",https://twitter.com/bantg/status/1444643482216304641?s=19,Compound,0x2775b1c75658be0f640272ccb8c72ac986009e38,Reservoir,Smart Contract Layer,Coding mistake,Absence of code logic or sanity check
21,7,2020-9-13,"DeFi lending protocol bZx was attacked again. This time hackers drained a little more over $8 million worth of cryptocurrencies leveraging a duplication bug that enabled them to make away with 219,199.66 LINK, 4,502.70 ETH, 1,756,351.27 USDT, 1,412,048.48 USDC, 667,988.62 DAI. iToken duplication bug-“double dip�?problem allowing attackers to execute an exploit.",https://bzx.network/blog/incident,bZx,0xde744d544a9d768e96c21b5f087fc54b776e9b25,LoanTokenLogicWeth,Smart Contract Layer,Coding mistake,Absence of code logic or sanity check
22,7,2020-9-13,"DeFi lending protocol bZx was attacked again. This time hackers drained a little more over $8 million worth of cryptocurrencies leveraging a duplication bug that enabled them to make away with 219,199.66 LINK, 4,502.70 ETH, 1,756,351.27 USDT, 1,412,048.48 USDC, 667,988.62 DAI. iToken duplication bug-“double dip�?problem allowing attackers to execute an exploit.",https://cryptopotato.com/defi-protocol-bzx-hacked-again-8-million-worth-of-eth-link-stablecoins-drained/,bZx,0xde744d544a9d768e96c21b5f087fc54b776e9b25,LoanTokenLogicWeth,Smart Contract Layer,Coding mistake,Absence of code logic or sanity check
23,7,2020-9-13,"DeFi lending protocol bZx was attacked again. This time hackers drained a little more over $8 million worth of cryptocurrencies leveraging a duplication bug that enabled them to make away with 219,199.66 LINK, 4,502.70 ETH, 1,756,351.27 USDT, 1,412,048.48 USDC, 667,988.62 DAI. iToken duplication bug-“double dip�?problem allowing attackers to execute an exploit.",https://mobile.twitter.com/k06a/status/1305223409610166275,bZx,0xde744d544a9d768e96c21b5f087fc54b776e9b25,LoanTokenLogicWeth,Smart Contract Layer,Coding mistake,Absence of code logic or sanity check
24,8,2021-5-18,The manipulation of XVS price�?the governance token of Venus Protocol on BSC resulted in $200M+ DeFi liquidations and a $100M+ of protocol bad debt.,https://medium.com/@venus.insider/venus-io-disclosure-an-inside-job-f8ef195fe78d,Venus,,,Third Party Layer,Off-chain oracle manipulation,External market manipulation
25,8,2021-5-18,The manipulation of XVS price�?the governance token of Venus Protocol on BSC resulted in $200M+ DeFi liquidations and a $100M+ of protocol bad debt.,https://thedefiant.io/bscs-venus-protocol-left-with-bad-debt-after-liquidations/,Venus,,,Third Party Layer,Off-chain oracle manipulation,External market manipulation
26,8,2021-5-18,The manipulation of XVS price�?the governance token of Venus Protocol on BSC resulted in $200M+ DeFi liquidations and a $100M+ of protocol bad debt.,https://twitter.com/FrankResearcher/status/1394900186435096578,Venus,,,Third Party Layer,Off-chain oracle manipulation,External market manipulation
27,9,2022-3-20,"On March 20th, 2022, an attacker exploited LI.FI’s smart contract, specifically our swapping feature which allows us to perform swaps before bridging. Instead of actually swapping, they were able to call token contracts directly in the context of our contract.As a result of the exploit, anyone who gave infinite approval to our contract was vulnerable",https://blog.li.fi/20th-march-the-exploit-e9e1c5c03eb9,Li.Finance,0x5a9fd7c39a6c488e715437d7b1f3c823d5596ed1,LiFiDiamond,Smart Contract Layer,Coding mistake,Absence of code logic or sanity check
28,9,2022-3-20,"On March 20th, 2022, an attacker exploited LI.FI’s smart contract, specifically our swapping feature which allows us to perform swaps before bridging. Instead of actually swapping, they were able to call token contracts directly in the context of our contract.As a result of the exploit, anyone who gave infinite approval to our contract was vulnerable",https://twitter.com/lifiprotocol/status/1505545992183111681,Li.Finance,0x5a9fd7c39a6c488e715437d7b1f3c823d5596ed1,LiFiDiamond,Smart Contract Layer,Coding mistake,Absence of code logic or sanity check
29,9,2022-3-20,"On March 20th, 2022, an attacker exploited LI.FI’s smart contract, specifically our swapping feature which allows us to perform swaps before bridging. Instead of actually swapping, they were able to call token contracts directly in the context of our contract.As a result of the exploit, anyone who gave infinite approval to our contract was vulnerable",https://twitter.com/lifiprotocol/status/1505738407938387971,Li.Finance,0x5a9fd7c39a6c488e715437d7b1f3c823d5596ed1,LiFiDiamond,Smart Contract Layer,Coding mistake,Absence of code logic or sanity check
30,10,2020-2-18,This second hack is different from the first one in that it is indeed an oracle attack.,https://peckshield.medium.com/bzx-hack-ii-full-disclosure-with-detailed-profit-analysis-8126eecc1360,bZx,0x818e6fecd516ecc3849daf6845e3ec868087b755,KyberNetworkProxy,DeFi Protocol Layer/Design Flaw,Unsafe DeFi protocol dependency,On-chain oracle manipulation
31,11,2021-6-22,"Eleven Finance was exploited to drain a number of vaults at the loss about $4.6 million. The incident was due to a bug that allows the attacker to withdraw funds without burning any shares. While it appears to be a flashloan attack, it is a flashswap-assisted one. (4 malicious contract, 5 attacks)",https://peckshield.medium.com/eleven-finance-incident-root-cause-analysis-123b5675fa76,ElevenFinance,0x27dd6e51bf715cfc0e2fe96af26fc9ded89e4be8,ElevenNeverSellVault,Smart Contract Layer,Coding mistake,Absence of code logic or sanity check
32,11,2021-6-22,"Eleven Finance was exploited to drain a number of vaults at the loss about $4.6 million. The incident was due to a bug that allows the attacker to withdraw funds without burning any shares. While it appears to be a flashloan attack, it is a flashswap-assisted one. (4 malicious contract, 5 attacks)",https://www.rekt.news/11-rekt/,ElevenFinance,0x27dd6e51bf715cfc0e2fe96af26fc9ded89e4be8,ElevenNeverSellVault,Smart Contract Layer,Coding mistake,Absence of code logic or sanity check
33,12,2021-8-10,"On Aug 10th, Punk Protocol was hacked for $8.95M, ~$5M of which was later returned. ""The Punk post-mortem details the vulnerability that led to the attack, and describes the root cause as a missing Modifier in the initialize() function within the CompoundModel code.
The hacker used delegateCall() to replace what should have been the protocol’s forgeAddress with their own malicious contract, as a parameter of the CompoundModel’s initialize() function.The lack of an “initializer�?Modifier meant that the manipulated function was executed despite being associated with an unknown (and in this case malicious) contract.With the contract address now updated, the attacker was then able to call withdrawToForge, sending the assets controlled by the CompoundModel directly to the malicious contract, and into their wallet.""",https://medium.com/punkprotocol/punk-finance-fair-launch-incident-report-984d9e340eb,PunkProtocol,0x929cb86046e421abf7e1e02de7836742654d49d6,CompoundModel,Smart Contract Layer,Untrusted callee / Race conditions,Delegatecall / call injection
34,12,2021-8-10,"On Aug 10th, Punk Protocol was hacked for $8.95M, ~$5M of which was later returned. ""The Punk post-mortem details the vulnerability that led to the attack, and describes the root cause as a missing Modifier in the initialize() function within the CompoundModel code.
The hacker used delegateCall() to replace what should have been the protocol’s forgeAddress with their own malicious contract, as a parameter of the CompoundModel’s initialize() function.The lack of an “initializer�?Modifier meant that the manipulated function was executed despite being associated with an unknown (and in this case malicious) contract.With the contract address now updated, the attacker was then able to call withdrawToForge, sending the assets controlled by the CompoundModel directly to the malicious contract, and into their wallet.""",https://medium.com/punkprotocol/punk-finance-fair-launch-incident-report-984d9e340eb,PunkProtocol,0x929cb86046e421abf7e1e02de7836742654d49d6,CompoundModel,Smart Contract Layer,Coding mistake,Absence of code logic or sanity check
35,12,2021-8-10,"On Aug 10th, Punk Protocol was hacked for $8.95M, ~$5M of which was later returned. ""The Punk post-mortem details the vulnerability that led to the attack, and describes the root cause as a missing Modifier in the initialize() function within the CompoundModel code.
The hacker used delegateCall() to replace what should have been the protocol’s forgeAddress with their own malicious contract, as a parameter of the CompoundModel’s initialize() function.The lack of an “initializer�?Modifier meant that the manipulated function was executed despite being associated with an unknown (and in this case malicious) contract.With the contract address now updated, the attacker was then able to call withdrawToForge, sending the assets controlled by the CompoundModel directly to the malicious contract, and into their wallet.""",https://rekt.news/punkprotocol-rekt/,PunkProtocol,0x929cb86046e421abf7e1e02de7836742654d49d6,CompoundModel,Smart Contract Layer,Untrusted callee / Race conditions,Delegatecall / call injection
36,12,2021-8-10,"On Aug 10th, Punk Protocol was hacked for $8.95M, ~$5M of which was later returned. ""The Punk post-mortem details the vulnerability that led to the attack, and describes the root cause as a missing Modifier in the initialize() function within the CompoundModel code.
The hacker used delegateCall() to replace what should have been the protocol’s forgeAddress with their own malicious contract, as a parameter of the CompoundModel’s initialize() function.The lack of an “initializer�?Modifier meant that the manipulated function was executed despite being associated with an unknown (and in this case malicious) contract.With the contract address now updated, the attacker was then able to call withdrawToForge, sending the assets controlled by the CompoundModel directly to the malicious contract, and into their wallet.""",https://rekt.news/punkprotocol-rekt/,PunkProtocol,0x929cb86046e421abf7e1e02de7836742654d49d6,CompoundModel,Smart Contract Layer,Coding mistake,Absence of code logic or sanity check
37,13,2021-8-16,"On August 17, news broke that the DeFi protocol XSURGE on the BSC was attacked by a flash loan, and the stolen amount was worth 5 million U.S. dollars. Analyzing the attack transaction, the attacker borrowed BNB through lightning loan to purchase surge tokens, and then continued to sell and buy again, and finally arbitrage out of the market. Analysis of the token source code reveals that the cause of this vulnerability is the sell function in the contract The resulting reentrancy vulnerability.",https://medium.com/@Knownsec_Blockchain_Lab/knowsec-blockchain-lab-xsurge-flash-loan-attack-analysis-b57b75ce6a30,XSURGE,0xe1e1aa58983f6b8ee8e4ecd206cea6578f036c21,BurgeToken,DeFi Protocol Layer/Design Flaw,Fake contracts,Camouflage a token contract
38,13,2021-8-16,"On August 17, news broke that the DeFi protocol XSURGE on the BSC was attacked by a flash loan, and the stolen amount was worth 5 million U.S. dollars. Analyzing the attack transaction, the attacker borrowed BNB through lightning loan to purchase surge tokens, and then continued to sell and buy again, and finally arbitrage out of the market. Analysis of the token source code reveals that the cause of this vulnerability is the sell function in the contract The resulting reentrancy vulnerability.",https://medium.com/@Knownsec_Blockchain_Lab/knowsec-blockchain-lab-xsurge-flash-loan-attack-analysis-b57b75ce6a30,XSURGE,0xe1e1aa58983f6b8ee8e4ecd206cea6578f036c21,BurgeToken,Smart Contract Layer,Untrusted callee / Race conditions,Reentrancy
39,13,2021-8-16,"On August 17, news broke that the DeFi protocol XSURGE on the BSC was attacked by a flash loan, and the stolen amount was worth 5 million U.S. dollars. Analyzing the attack transaction, the attacker borrowed BNB through lightning loan to purchase surge tokens, and then continued to sell and buy again, and finally arbitrage out of the market. Analysis of the token source code reveals that the cause of this vulnerability is the sell function in the contract The resulting reentrancy vulnerability.",https://twitter.com/XSURGEDEFI/status/1427359459102404609,XSURGE,0xe1e1aa58983f6b8ee8e4ecd206cea6578f036c21,BurgeToken,DeFi Protocol Layer/Design Flaw,Fake contracts,Camouflage a token contract
40,13,2021-8-16,"On August 17, news broke that the DeFi protocol XSURGE on the BSC was attacked by a flash loan, and the stolen amount was worth 5 million U.S. dollars. Analyzing the attack transaction, the attacker borrowed BNB through lightning loan to purchase surge tokens, and then continued to sell and buy again, and finally arbitrage out of the market. Analysis of the token source code reveals that the cause of this vulnerability is the sell function in the contract The resulting reentrancy vulnerability.",https://twitter.com/XSURGEDEFI/status/1427359459102404609,XSURGE,0xe1e1aa58983f6b8ee8e4ecd206cea6578f036c21,BurgeToken,Smart Contract Layer,Untrusted callee / Race conditions,Reentrancy
41,14,2021-6-3,"This is not a Flash Loan attack.None of the Bunny and Bunny fork attacks is a Flash Loan attack. They are Performance Fee Minting Attacks. They just often get amplified/made easier with Flash Loans.Using all the wallet balance to make HUNNYBNB LP, and then uses it to calculate the profit hunnyBnbAmount, which can be easily tampered with by just sending the tokens to the minter contract.",https://medium.com/pancakehunny/pancakehunny-preliminary-incident-report-6da18bc3c0e6,PancakeHunny,0x109ea28dbdea5e6ec126fbc8c33845dfe812a300,HunnyMinter,DeFi Protocol Layer/Design Flaw,Unsafe DeFi protocol dependency,On-chain oracle manipulation
42,14,2021-6-3,"This is not a Flash Loan attack.None of the Bunny and Bunny fork attacks is a Flash Loan attack. They are Performance Fee Minting Attacks. They just often get amplified/made easier with Flash Loans.Using all the wallet balance to make HUNNYBNB LP, and then uses it to calculate the profit hunnyBnbAmount, which can be easily tampered with by just sending the tokens to the minter contract.",https://watchpug.medium.com/pancakehunny-performance-fee-minting-attack-analysis-e347d12bfdde,PancakeHunny,0x109ea28dbdea5e6ec126fbc8c33845dfe812a300,HunnyMinter,DeFi Protocol Layer/Design Flaw,Unsafe DeFi protocol dependency,On-chain oracle manipulation
43,15,2021-7-30,"leyvathan.finance was subject to an attack on July 30th 2021, resulting in the minting of 100,000,000,000,000,000,000,000,000 $LEV tokens and price drop to near 0. [1] The Levyathan developers left the private keys to a wallet with minting capability available on Github.
[2] As a result of the exploit, users were forced to use emergencyWithdraw() to attempt to retrieve their staked tokens.However, the emergencyWithdraw() logic contained a bug which referenced rewardDebt (a variable related to reward calculation) instead of user.amount as the quantity of tokens to be withdrawn.",https://levyathan-index.medium.com/post-mortem-levyathan-c3ff7f9a6f65,Levyathan,0x304c62b5b030176f8d328d3a01feab632fc929ba,LEVToken,Third Party Layer,Faulty operation,Compromised private key / hacked wallet
44,15,2021-7-30,"leyvathan.finance was subject to an attack on July 30th 2021, resulting in the minting of 100,000,000,000,000,000,000,000,000 $LEV tokens and price drop to near 0. [1] The Levyathan developers left the private keys to a wallet with minting capability available on Github.
[2] As a result of the exploit, users were forced to use emergencyWithdraw() to attempt to retrieve their staked tokens.However, the emergencyWithdraw() logic contained a bug which referenced rewardDebt (a variable related to reward calculation) instead of user.amount as the quantity of tokens to be withdrawn.",https://levyathan-index.medium.com/post-mortem-levyathan-c3ff7f9a6f65,Levyathan,0x304c62b5b030176f8d328d3a01feab632fc929ba,LEVToken,Smart Contract Layer,Coding mistake,Absence of code logic or sanity check
45,15,2021-7-30,"leyvathan.finance was subject to an attack on July 30th 2021, resulting in the minting of 100,000,000,000,000,000,000,000,000 $LEV tokens and price drop to near 0. [1] The Levyathan developers left the private keys to a wallet with minting capability available on Github.
[2] As a result of the exploit, users were forced to use emergencyWithdraw() to attempt to retrieve their staked tokens.However, the emergencyWithdraw() logic contained a bug which referenced rewardDebt (a variable related to reward calculation) instead of user.amount as the quantity of tokens to be withdrawn.",https://rekt.news/levyathan-rekt/,Levyathan,0x304c62b5b030176f8d328d3a01feab632fc929ba,LEVToken,Third Party Layer,Faulty operation,Compromised private key / hacked wallet
46,15,2021-7-30,"leyvathan.finance was subject to an attack on July 30th 2021, resulting in the minting of 100,000,000,000,000,000,000,000,000 $LEV tokens and price drop to near 0. [1] The Levyathan developers left the private keys to a wallet with minting capability available on Github.
[2] As a result of the exploit, users were forced to use emergencyWithdraw() to attempt to retrieve their staked tokens.However, the emergencyWithdraw() logic contained a bug which referenced rewardDebt (a variable related to reward calculation) instead of user.amount as the quantity of tokens to be withdrawn.",https://rekt.news/levyathan-rekt/,Levyathan,0x304c62b5b030176f8d328d3a01feab632fc929ba,LEVToken,Smart Contract Layer,Coding mistake,Absence of code logic or sanity check
47,16,2021-6-23,"The StableMagnet Automated Market Maker (AMM) has perpetrated a rugpull on their users in an initial attack valued upwards of $22 million. According to an analysis by REKT, that figure has now grown to $27 million and continues to rise. Its SwapUtils library code is NOT verified and *DIFFERENT* from  main Swap contract (PeckShield).",https://twitter.com/peckshield/status/1407845381312892931,StableMagnet,0xb89e9365cb5bacfcf4a4b0386dfad45c3b4d3258,Swap,Third Party Layer,Greedy / information asymmetry,Backdoor / Honeypot
48,16,2021-6-23,"The StableMagnet Automated Market Maker (AMM) has perpetrated a rugpull on their users in an initial attack valued upwards of $22 million. According to an analysis by REKT, that figure has now grown to $27 million and continues to rise. Its SwapUtils library code is NOT verified and *DIFFERENT* from  main Swap contract (PeckShield).",https://www.bsc.news/post/stablemagnet-and-others-rugpull-22m-in-stablecoin-through-unverified-swap-code,StableMagnet,0xb89e9365cb5bacfcf4a4b0386dfad45c3b4d3258,Swap,Third Party Layer,Greedy / information asymmetry,Backdoor / Honeypot
49,16,2021-6-23,"The StableMagnet Automated Market Maker (AMM) has perpetrated a rugpull on their users in an initial attack valued upwards of $22 million. According to an analysis by REKT, that figure has now grown to $27 million and continues to rise. Its SwapUtils library code is NOT verified and *DIFFERENT* from  main Swap contract (PeckShield).",https://www.rekt.news/stablemagnet-rekt/,StableMagnet,0xb89e9365cb5bacfcf4a4b0386dfad45c3b4d3258,Swap,Third Party Layer,Greedy / information asymmetry,Backdoor / Honeypot
50,17,2022-4-2,A professionally executed hack allowed an anonymous actor to manipulate the price of INV and help themself to an exclusive deal from the ETH based lending protocol.,https://medium.com/@Knownsec_Blockchain_Lab/knownsec-blockchain-lab-inverse-finance-is-under-attack-with-huge-losses-4f143c517d14,InverseFinance,0x39b1df026010b5aea781f90542ee19e900f2db15,Keep3rV2Oracle,DeFi Protocol Layer/Design Flaw,Transaction Order Dependency,Frontrunning
51,17,2022-4-2,A professionally executed hack allowed an anonymous actor to manipulate the price of INV and help themself to an exclusive deal from the ETH based lending protocol.,https://medium.com/@Knownsec_Blockchain_Lab/knownsec-blockchain-lab-inverse-finance-is-under-attack-with-huge-losses-4f143c517d14,InverseFinance,0x39b1df026010b5aea781f90542ee19e900f2db15,Keep3rV2Oracle,DeFi Protocol Layer/Design Flaw,Unsafe DeFi protocol dependency,On-chain oracle manipulation
52,17,2022-4-2,A professionally executed hack allowed an anonymous actor to manipulate the price of INV and help themself to an exclusive deal from the ETH based lending protocol.,https://rekt.news/inverse-finance-rekt/,InverseFinance,0x39b1df026010b5aea781f90542ee19e900f2db15,Keep3rV2Oracle,DeFi Protocol Layer/Design Flaw,Transaction Order Dependency,Frontrunning
